time	cpu_%	mem_%
440	0.128575	0.939493
441	0.125984	0.939495
442	0.126422	0.93949
443	0.125519	0.939483
444	0.126585	0.939483
445	0.128603	0.939488
446	0.127539	0.939491
447	0.12746	0.939487
448	0.127352	0.93949
449	0.129342	0.939491
450	0.128637	0.939483
451	0.12875	0.939483
452	0.12918	0.939482
453	0.127432	0.939484
454	0.127757	0.939481
455	0.127265	0.93948
456	0.128743	0.939493
457	0.128581	0.939505
458	0.128631	0.939507
459	0.127953	0.939499
460	0.128082	0.939495
461	0.127078	0.9395
462	0.126585	0.939502
463	0.127269	0.939509
464	0.127245	0.939508
465	0.126831	0.939497
466	0.12697	0.939491
467	0.126231	0.939497
468	0.125301	0.939497
469	0.12738	0.939493
470	0.126998	0.939499
471	0.125355	0.939501
472	0.126591	0.939496
473	0.127618	0.939492
474	0.126887	0.939492
475	0.128575	0.93949
476	0.126339	0.939502
477	0.127376	0.93949
478	0.127189	0.939485
479	0.125192	0.939484
480	0.126422	0.939486
481	0.126394	0.939484
482	0.126831	0.939488
483	0.125109	0.939488
484	0.126477	0.939491
485	0.127297	0.939489
486	0.126813	0.939492
487	0.126366	0.939501
488	0.12746	0.939486
489	0.127511	0.939493
490	0.127369	0.939492
491	0.126776	0.939504
492	0.127948	0.939506
493	0.127026	0.939507
494	0.127455	0.939516
495	0.126887	0.939511
496	0.126039	0.93951
497	0.126095	0.939501
498	0.127976	0.939499
499	0.127185	0.939506
500	0.127785	0.939503
501	0.130794	0.939502
502	0.127706	0.939506
503	0.126998	0.93951
504	0.129779	0.939496
505	0.128799	0.939508
506	0.129617	0.939497
507	0.129384	0.939497
508	0.129067	0.939504
509	0.129507	0.939503
510	0.128821	0.939503
511	0.129476	0.939508
512	0.129751	0.939498
513	0.1283	0.939508
514	0.12844	0.939513
515	0.128559	0.939516
516	0.127701	0.939514
517	0.128743	0.939537
518	0.128518	0.939515
519	0.129412	0.939518
520	0.128652	0.939526
521	0.119827	0.939522
522	0.127887	0.939517
523	0.127604	0.939528
524	0.127265	0.939523
525	0.129067	0.939524
526	0.129258	0.939527
527	0.127622	0.939528
528	0.127813	0.939526
529	0.12713	0.93953
531	0.128849	0.939541
532	0.127404	0.939525
533	0.127074	0.939519
534	0.129751	0.939519
535	0.127376	0.939515
536	0.130866	0.939516
537	0.129714	0.939518
538	0.12825	0.939522
539	0.128194	0.939518
540	0.125766	0.93952
541	0.126668	0.93951
542	0.127595	0.9395
543	0.126942	0.93951
544	0.12489	0.939508
545	0.128306	0.939517
546	0.127241	0.939521
547	0.127352	0.939518
548	0.126939	0.939519
549	0.127432	0.939527
550	0.128031	0.939522
551	0.12732	0.939525
552	0.127297	0.939529
553	0.129131	0.939531
554	0.127892	0.939523
555	0.128014	0.939531
556	0.128468	0.93954
557	0.126835	0.939541
558	0.126422	0.939545
559	0.12765	0.93953
560	0.128093	0.939521
561	0.126998	0.939527
562	0.129921	0.939534
563	0.143674	0.939584
564	0.149002	0.939642
565	0.149672	0.939657
566	0.148852	0.939648
567	0.148148	0.939674
568	0.148894	0.939688
569	0.149825	0.939702
570	0.149071	0.939721
571	0.148838	0.939728
572	0.150646	0.939737
573	0.147117	0.93976
574	0.14942	0.939766
575	0.149486	0.939787
576	0.156772	0.939787
577	0.153947	0.939856
578	0.150363	0.939888
579	0.152145	0.93994
580	0.133085	0.939935
581	0.127376	0.939925
582	0.127492	0.939922
583	0.126946	0.939905
584	0.134957	0.939906
585	0.149737	0.939949
586	0.14977	0.939993
587	0.148806	0.94005
588	0.147732	0.940112
589	0.148051	0.940152
590	0.149329	0.940202
591	0.14722	0.940255
592	0.149002	0.940246
593	0.148702	0.940283
594	0.149277	0.94031
595	0.150142	0.940353
596	0.148497	0.940411
597	0.147336	0.940456
598	0.147368	0.940492
599	0.146304	0.940517
600	0.147429	0.940511
601	0.148643	0.940522
602	0.1491	0.940521
603	0.149034	0.940517
604	0.149385	0.94051
605	0.144237	0.940516
606	0.129046	0.940509
607	0.145765	0.940511
608	0.150745	0.940502
609	0.151422	0.940502
610	0.149836	0.9405
611	0.147897	0.9405
612	0.150481	0.940497
613	0.129152	0.940491
614	0.138725	0.940494
615	0.152065	0.940496
616	0.150011	0.940502
617	0.149433	0.940501
618	0.150383	0.940503
619	0.150646	0.940494
620	0.140823	0.940494
621	0.127567	0.940506
622	0.149332	0.940505
623	0.148927	0.940512
624	0.150535	0.940512
625	0.151674	0.940512
626	0.148465	0.940511
627	0.150766	0.940506
628	0.1309	0.940506
629	0.138865	0.940515
630	0.150799	0.940513
631	0.151051	0.940513
632	0.150721	0.940515
633	0.150427	0.940511
634	0.149572	0.940511
635	0.140885	0.940521
636	0.1282	0.940513
637	0.14814	0.940518
638	0.149617	0.940522
639	0.150055	0.940522
640	0.150077	0.940516
641	0.149156	0.940534
642	0.149737	0.940525
643	0.128637	0.940524
644	0.139138	0.940529
645	0.150538	0.940524
646	0.150198	0.940524
647	0.150733	0.940529
648	0.149453	0.940523
649	0.150646	0.940519
650	0.133129	0.940517
651	0.131331	0.940525
652	0.150328	0.940549
653	0.150547	0.940539
654	0.150109	0.940535
655	0.149365	0.940536
656	0.149453	0.940529
657	0.1407	0.940534
658	0.127711	0.940559
659	0.147685	0.940548
660	0.150241	0.940546
661	0.150799	0.940547
662	0.150317	0.940547
663	0.149113	0.940552
664	0.144797	0.940542
665	0.12911	0.940537
666	0.143169	0.940542
667	0.150637	0.940542
668	0.150952	0.940537
669	0.148847	0.940536
670	0.150175	0.940525
671	0.149179	0.940527
672	0.129605	0.940545
673	0.137031	0.940535
675	0.150361	0.94054
676	0.149211	0.940536
677	0.150931	0.940544
678	0.150328	0.940548
679	0.149277	0.940561
680	0.14192	0.940553
681	0.127361	0.940556
682	0.147685	0.940554
683	0.149529	0.940554
684	0.149299	0.940554
685	0.150439	0.940547
686	0.147523	0.940553
687	0.148521	0.940551
688	0.126754	0.940555
689	0.136902	0.94056
690	0.14943	0.940554
691	0.149277	0.940545
692	0.149672	0.940549
693	0.150208	0.940546
694	0.149606	0.94055
695	0.136135	0.940548
696	0.132895	0.940553
697	0.150274	0.940537
698	0.151257	0.940545
699	0.150175	0.940544
700	0.149901	0.940539
701	0.149398	0.940532
702	0.140635	0.94054
703	0.126424	0.940546
704	0.148343	0.940531
705	0.149352	0.940536
706	0.148857	0.940535
707	0.151296	0.940538
708	0.149057	0.940532
709	0.147986	0.940529
710	0.129103	0.940547
711	0.143233	0.940538
712	0.151051	0.940531
713	0.148871	0.940533
714	0.149211	0.940534
715	0.15127	0.940528
716	0.150481	0.940524
717	0.131642	0.940527
718	0.137349	0.940532
719	0.149891	0.940538
720	0.149518	0.940532
721	0.150328	0.94053
722	0.14977	0.940528
723	0.149803	0.940527
724	0.137969	0.940528
725	0.130587	0.940526
726	0.148749	0.940526
727	0.149529	0.940526
728	0.148927	0.940529
729	0.148335	0.94053
730	0.150295	0.940533
731	0.141073	0.940525
732	0.125604	0.94053
733	0.147807	0.940527
734	0.147807	0.940532
735	0.149836	0.940525
736	0.14771	0.940526
737	0.148302	0.940525
738	0.148205	0.940529
739	0.128121	0.940546
740	0.140539	0.94054
741	0.150055	0.940534
742	0.149989	0.940538
743	0.149342	0.940539
744	0.148708	0.940553
745	0.150088	0.940544
746	0.132939	0.940537
747	0.135301	0.94054
748	0.149617	0.940541
749	0.150778	0.940534
750	0.150022	0.940538
751	0.150906	0.940545
752	0.149934	0.940548
753	0.137878	0.940545
754	0.13031	0.940553
755	0.151114	0.940561
756	0.149048	0.940563
757	0.147782	0.940552
758	0.148927	0.940546
759	0.151343	0.940557
760	0.143014	0.94056
761	0.127902	0.940566
762	0.147355	0.940553
763	0.149858	0.940568
764	0.148708	0.94056
765	0.152672	0.940583
766	0.148675	0.940563
767	0.150985	0.940575
768	0.127057	0.940571
769	0.139571	0.94057
770	0.149365	0.940575
771	0.149693	0.940584
772	0.150044	0.940581
773	0.1507	0.940579
774	0.149803	0.940576
775	0.133392	0.940569
776	0.134136	0.940582
777	0.14976	0.940574
778	0.151442	0.940568
779	0.150098	0.940571
780	0.149989	0.94057
781	0.151104	0.940562
782	0.139728	0.94056
